Id;Label;City;State;Country;Operating Status;Company Type;Number of Investments;Number of Lead Investments;Number of Diversity Investments;Number of Exits;Number of Lead Investors;Number of Investors;Number of Funding Rounds;Funding Status;Last Funding Date;Last Funding Amount;Last Funding Type;Last Equity Funding Type;Last Equity Funding Amount;Total Funding Amount;Number of Events;Aberdeen - IT Spend;Lat Country;Long Country;Lat State;Long State
Hike;Hike;New Delhi; Delhi; India;Active;For Profit;1;1;0;0;7;20;7;;27/01/2022;0;Corporate Round;Corporate Round;0;261000000;0;0;22,3511148;78,6677428;28,6273928;77,1716954
NetEase;NetEase;Hangzhou; Zhejiang; China;Active;For Profit;32;19;0;4;0;1;1;IPO;1/12/1999;0;Series A;Series A;0;0;4;0;35,000074;104,999927;29,0000001;119,9999999
KittyHawk Ventures;KittyHawk Ventures;Los Angeles; California; United States;Active;Non Profit;41;12;9;3;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Pear VC;Pear VC;Palo Alto; California; United States;Active;Non Profit;187;29;44;17;0;0;0;;;0;;;0;0;3;0;39,7837304;-100,445882;36,7014631;-118,755997
Rabobank;Rabobank;Utrecht; Utrecht; The Netherlands;Active;For Profit;54;13;2;12;0;0;0;;;0;;;0;0;24;0;52,24764975;5,541246849;52,0907006;5,1215634
Hellman & Friedman;Hellman & Friedman;San Francisco; California; United States;Active;Non Profit;13;4;1;10;0;0;0;;;0;;;0;0;5;3323756;39,7837304;-100,445882;36,7014631;-118,755997
Rebel Fund;Rebel Fund;San Francisco; California; United States;Active;Non Profit;57;2;7;1;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Partech;Partech;Paris; Ile-de-France; France;Active;Non Profit;474;138;12;88;0;0;0;;;0;;;0;0;3;0;46,603354;1,8883335;48,6443057;2,7537863
Kotak Mahindra Bank;Kotak Mahindra Bank;Mumbai; Maharashtra; India;Active;For Profit;14;8;0;4;0;0;0;IPO;;0;;;0;0;0;0;22,3511148;78,6677428;18,9068356;75,6741579
Lightspeed China Partners;Lightspeed China Partners;Shanghai; Shanghai; China;Active;Non Profit;137;52;1;10;0;0;1;Early Stage Venture;1/03/2012;0;Series A;Series A;0;0;0;0;35,000074;104,999927;31,2312707;121,4700152
Jefferies;Jefferies;New York; New York; United States;Active;For Profit;32;9;5;9;0;0;0;M&A;;0;;;0;0;8;380410916;39,7837304;-100,445882;40,7127281;-74,0060152
Multicoin Capital;Multicoin Capital;Austin; Texas; United States;Active;For Profit;90;38;3;1;0;0;0;;;0;;;0;0;1;0;39,7837304;-100,445882;31,2638905;-98,5456116
Pitango Venture Capital;Pitango Venture Capital;Herzliya; Tel Aviv; Israel;Active;For Profit;318;98;12;63;1;1;1;;10/12/2015;0;Secondary Market;;0;0;2;0;30,8124247;34,8594762;32,0852997;34,7818064
Initialized Capital;Initialized Capital;San Francisco; California; United States;Active;Non Profit;465;105;108;79;0;0;0;;;0;;;0;0;0;0;39,7837304;-100,445882;36,7014631;-118,755997
Mangrove Capital Partners;Mangrove Capital Partners;Luxembourg; Luxembourg; Luxembourg;Active;Non Profit;154;60;2;23;0;0;0;;;0;;;0;0;2;7654169;49,6112768;6,129799;49,6112768;6,129799
